id,editor,starring,title,writer
14072,,Anthony Papaleo Nikolaus Karl Gu00FCnther Nakszyu0144ski,Nella stretta morsa del ragno,
14073,,,Big Bird in Japan,Jon Stone
14074,,Oliver Hardy,Madame Mystery,Carl Harbaugh Hal Yates H.M. Walker
14075,,,,Jean-Pierre Limosin Abbas Kiarostami Hassan Darabi
14076,,L.M. Kit Carson,,Jim McBride
14077,,Catherine Louise Sagal Jason Nelson Robards Jr. James Naughton William John Neeson Muriel Teresa Wright Ralph Rexford Bellamy Diane Hall,The Good Mother,Michael Bortman Sue Miller
14078,,Chow Yun-Fat Chen Sung Young Roy Cheung,Prison on Fire II,Nam Yin
14079,,Smita Patil Amrish Lal Puri Om Puri Naseeruddin Shah,Aakrosh,Vijay Dhondopant Tendulkar Satyadev Dubey
14080,,Joseph Zaso Andreas Schnaas Felissa Rose,,Ted Geoghegan Andreas Schnaas
14081,,"Hiroki Matsukata
Tomoko Ogawa",,"Masaru Igami
Mokuami Kawatake"
14082,,Millicent Martin Michael Caine Shirley Schrift Ada Thompson,Alfie Jury Prize (Cannes Film Festival),Bill Naughton
14083,,,,Ina Bruhn
14084,,Evelyn Ankers Burnu Acquanetta Richmond Reed Carradine Milburn Stone,,Ted Fithian/Neil P. Varnick/Griffin Jay/Henry Sucher
14085,,Penelope Ann Miller Valeria Golino Paul Rubenfeld Kristoffer Kristofferson,Big Top Pee-wee,George McGrath Paul Rubenfeld
14086,,Ruth Elizabeth Davis Spencer Bonaventure Tracy Arthur Byron,,Wilson Mizner Courtney Terrett Lewis E. Lawes Brown Holmes
14087,,Peter Haber Birgitta Andersson Ulf Brunnberg Björn Gustafson,,Rolf Börjlind Hans Åke Gabrielsson
14088,,Danny Lebern Glover Daniel Michael DeVito Jr. Philip Andre Rourke Jr. Virginia Madsen Jonathan Vincent Voight Claire Catherine Danes Red West Muriel Teresa Wright Matthew Paige Damon Mary Kay Place,,Francis Ford Coppola John Grisham
14089,,Louis Feinberg Tony the Wonder Horse Harriette Tarler Harry Moses Horwitz Joe Besser Emil Sitka,,Felix Adler
14090,,Divya Spandana Dharmendra Deepak Shirke Gouranga Chakraborty Shakti Kapoor,,Kanti Shah
14091,,Rod La Rocque Douglas Fairbanks Jr. Anita Pomares Lucille Fay LeSueur,,Marion Ainslee Ruth Cummings Josephine Lovett
14092,,Amy Sedaris Jeff Garlin Sarah Silverman,I Want Someone to Eat Cheese With,Jeff Garlin
14093,,Julia Elizabeth Wells Sofia Vladimirovna Vassilieva Jeffrey Michael Tambor Brittany Gray Christine Baranski,Eloise at the Plaza,Janet Brownell Hilary Knight Kay Thompson
14094,,Claire Forlani Monica (singer) Jason Matthew Biggs Freddie Prinze Jr.,Boys and Girls,Andrew Lowery Andrew Miller (actor)
14095,,"John Price Stellan Skarsgård Juan Moreno y Herrera Jimu00E9nez Shaun Mark Bean Robert Mario De Niro, Jr. Natascha Taylor",Ronin,David Mamet J.D. Zeik
14096,,Mary-Kate Olsen Ashley Fuller Olsen,,
14097,,Rachel Weisz Jude Law Norah Jones David Russell Strathairn en .,My Blueberry Nights,Lawrence Block
14098,,David Gilmour Pink Floyd Nick Mason Rick Wright,,
14099,,Connie Inge-Lise Nielsen Tommy Lee Jones Benicio Monserrate Rafael del Toro Su00E1nchez,The Hunted,David Griffiths (screenwriter) Art Monterastelli Peter Griffiths (screenwriter)
14100,,,,Abbas Kiarostami
14101,,"Alicia Christian Foster Cybill Lynne Shepherd Robert Mario De Niro, Jr. Leonard Harris Albert Lawrence Einstein Peter Lawrence Boyle Harvey Keitel",Taxi Driver Palme d'Or,Paul Schrader
14102,,Sabrina Ouazani Osman Elkharraz Sara Forestier,César Award for Best Film Games of Love and Chance,Abdel Kechiche Ghalia Lacroix
14103,,Isabelle Huppert Gu00E9rard Xavier Marcel Depardieu,,Maurice Pialat Arlette Langmann
14104,,Phillip Morris J.C. Brandy Rose Arianna McGowan Sherrie Rose,Devil in the Flesh,Kurt Anderson and Richard Brandes
14105,,u6797u7ACBu6167 Lu00EDn Lu00EC-Huu00EC Chang Chen Daniel Wu Liu Ye Lulu Li Tony Yang,Blood Brothers,"Alexi Tan
Jiang Dan
Tony Chan"
14106,,Leon Errol Dorothy Gish Anita Donna Dooley William Phillips,,Holman Day
14107,,Margaret Cho Jennifer Aniston Laura Kightlinger Janeane Garofalo Michael John Myers David Lawrence Schwimmer,,"Joe Dietl
Michael Irpino"
14108,,Forrest Tucker Peter Wilton Cushing,The Abominable Snowman,Nigel Kneale
14109,,Corey Scott Feldman Sean Patrick Duke Robert Davi Kerri Green Anne Ramsey John Matuszak Ke Hunh Quan Jeff Cohen Martha Campbell Plimpton Joseph Peter Pantoliano Josh Brolin,The Goonies,Chris Columbus (filmmaker) Steven Allan Spielberg
14110,,Rawiri Paratene John Clarke (satirist),Footrot Flats: The Dog's Tale,Tom Scott (cartoonist) Murray Ball
14111,,Chips Rafferty Colin Petersen Ralph David Richardson,,Moore Raymond
14112,,Pierre Alcover,Champi-Tortu,Gaston Chérau
14113,,Andrew Jackson (actor) Robert Seeliger Amanda Tilson Nicollette Sheridan,Deadly Betrayal,"Howard Friedlander
Ken Peragine"
14114,,Frank Theodore Levine Mary Megan Winningham Max Perlich Jennifer L. Morrow,,Barbara Turner
14115,,Michele Hall Howard Hall (photographer) Jean-Michel Cousteau,,Stephen Judson Osha Gray Davidson Jack Stephens
14116,,Joseph Frank Keaton VI,Ditto,Paul Girard Smith
14117,,Fernando Casado D'Arambillet Maru00EDa Antonia Abad Manuel Luna Jesús Tordesillas Aurora Bautista Jorge Mistral,Locura de amor,
14118,,Thikkurisi Sukumaran Nair Sharada Madhu,Swayamvaram,Moutathu Gopalakrishnan Unnithan
14119,,Charles West (actor),The Battle,
14120,,Francis Phillip Wuppermann Muriel Teresa Wright Frank James Cooper,,Floyd Dell Nunnally Hunter Johnson Thomas Mitchell (actor)
14121,,James Francis Cagney Jr. John Elmer Carson Margarita Carmen Cansino Olivia Mary de Havilland,,Julius J. Epstein Philip G. Epstein
14122,,"Edward Burns Robert Mario De Niro, Jr. Allen Kelsey Grammer Melina Eleni Kanakaredes Avery Franklin Brooks",15 Minutes,John Herzfeld
14123,,River Jude Bottom Keanu Charles Reeves James Russo,My Own Private Idaho,Gus Van Sant
14124,,Jiang Wen Ge You,Keep Cool,Shu Ping
14125,,Roscoe Arbuckle,How've You Bean?,Jack Henley
14126,,Shahrukh Khan Twinkle Khanna Raakhee Gulzar,Baadshah,Shyam Goel
14127,,Brian Chippendale Brian Gibson (musician),The Power of Salad,
14128,,Tuna Orhan Özlem Tekin Mazhar Alanson Cem Y?lmaz,,Cem Y?lmaz
14129,,Michael Madsen Laura Cayouette,Hell Ride,Larry Bishop
14130,,Heinrich George Werner Krauss Kristina Söderbaum Ferdinand Marian,,Eberhard Wolfgang Möller
14131,,Melody Kay Freddie Jones Jack Black (actor) Jason James Richter Julie Cox,,Karin Howard Michael Ende Jeff Lieberman
14132,,"Michael Robertson
Rich Hamilton
Robin Lilly
Lori Tirgrath
Jamie Krause",Beware! Children at Play,Fred Scharkey
14133,,Douglas James Henshall Emily Woof Ian Hart Kathy Burke Catherine McCormack Sophie Okonedo Jennifer Ehle Stephen Scott,This Year's Love,David Kane
14134,,Norman Whitten Stanley Faithfull Geoffrey Faithfull,Alice in Wonderland,Lewis Carroll
14135,,"Maurizio Micheli
Maurizio Nichetti
Nu00E9stor Garay
Maurialuisa Giovannini",Allegro non troppo,Bruno Bozzetto
14136,,Marguerite Wendy Jenkins Jonathan Hale George Sanders (actor),The Saint Takes Over,Frank Fenton Leslie Charteris Lynn Root
14137,,Tura Satana Geneviere Anderson,,Cody Jarrett
14138,,Line Noro Jean Gabin Mireille Balin,Pu00E9pu00E9 le Moko,Julien Duvivier Jacques Constant Henri Jeanson Henri La Barthe
14139,,"Humberto Dorado
 Florina Lemaitre 
 Fausto Cabrera 
 Frank Ramirez 
Victor Mallarino",,Sergio Cabrera
14140,,Otto Wernicke Oscar Beregi Sr. Rudolf Klein-Rogge,The Testament of Dr. Mabuse,Fritz Lang Norbert Jacques Thea von Harbou
14141,,"Desmond Tutu Moneera Girshab George Galloway Dr Nazreen Nawaz Ruhul Tarafder Esther Stanford Ishmahil Blagrove,Jr",,
14142,,Therese Ann Rutherford Marion Robert Morrison,The Lonely Trail,Bernard McConville
14143,,W. Chrystie Miller,A Timely Interception,William Christy Cabanne
14144,,Jose Ferrer Madeline Stowe Sean Young Jane Quigley Kristoffer Kristofferson,Blood & Orchids,Norman Katkov
14145,,Toshir? Mifune Takashi Shimura,Ikimono no Kiroku,Akira Kurosawa Shinobu Hashimoto Fumio Hayasaka Hideo Oguni
14146,,Ali Sayaji Shinde Ileana D'Cruz Prakash Raj Mahesh Babu Ashish Vidyarthi,Pokiri,Puri Jagannadh
14147,,Christian Kane,,James Charles Zahn Ben Brezinski
14148,,Tommy Lee Jones Mary Kathleen Turner,,Michael Lessac
14149,,Roddy Bottum Mike Patton Billy Gould Chuck Mosely Jim Martin Mike Bordin,,
14150,,Wendy Makkena John Benjamin Hickey,,Kim Powers
14151,,Susanne Benton Jason Nelson Robards Jr. Tiger (dog actor) Donnie Wayne Johnson Charles McGraw,A Boy and His Dog,Harlan Ellison Wayne Cruseturner
14152,,"Aiishwariya Haran 
Jacoba Barber-Rozema
Sonika Ramachandran",,Mitra Sen
14153,,Brian O'Halloran Jeffrey Allan Anderson Trevor Gregory Fehrman Jennifer Schwalbach Rosario Dawson Jason Edward Mewes Kevin Patrick Smith,View Askewniverse Clerks II,Kevin Smith
14154,,Vildan Atasever Hu00FClya Avu015Far,,
14155,,,La folie du doute,
14156,,Jean Blue Helen Grieve John Nugent Hayward Peter Pagan Chips Rafferty John Fernside Daphne Campbell,,Ralph Smart Harry Watt
14157,,Lloyd Nolan William Millar Mai Zetterling,,Richard Sale
14158,,Rosalie Anderson MacDowell Rosalind Chao Bill Pullman Traci Lind Gabriel James Byrne,,Nicholas Klein Wim Wenders
14159,,Leon Ames Hume Blake Cronyn Audrey Totter Cecil Kellaway Julia Jean Mildred Frances Turner Jacob Julius Garfinkle,The Postman Always Rings Twice,"Story:
James M. Cain
Screenplay:
Harry Ruskin
Niven Busch"
14160,,Richard Rober,The Well,"Russell Rouse
Clarence Greene"
14161,,Hilary Duff Amanda Seyfried Molly Helen Shannon,,"Robert Lawson
Johnathan Glatzer"
14162,,Bill Thompson (voice actor) Dink Trout J. Pat O'Malley George Richard Haydon Kathryn Beaumont Sterling Price Holloway Jr. Jerry Colonna Heather Angel Doris Lloyd The Mellomen Isaiah Edwin Leopold Verna Felton Don Barclay James MacDonald Queenie Leonard Larry Grey Joseph Kearns,Alice in Wonderland,William Cottrell Milt Banta Dick Huemer Winston Hibler Joe Grant Bill Peet Tom Oreb Ted Sears Joe Rinaldi John Walbridge Erdman Penner Dick Kelsey Del Connell
14163,,"Ferenc Bandi
Ju00F3zsefnu00E9 Ru00E1cz",,György Pálfi
14164,,Jennifer Anne Garner Timothy David Olyphant Juliette Lewis Sam Jaeger Kevin Patrick Smith,Catch and Release,Susannah Grant
14165,,Douglas Elton Thomas Ullman,Headin' South,Joseph Aloysius Dwan
14166,,Paddy Considine,Dead Man's Shoes,"Shane Meadows
Paddy Considine
Paul Fraser"
14167,,Dian Bachar Robert Francis Vaughn Ermes Effron Borgnino Randolph Severn Parker III Matthew Richard Stone Yasmine Amanda Bleeth Jenny McCarthy,BASEketball,Robert LoCash Lewis Friedman Jeff Wright David Zucker
14168,,Symona Boniface Jerome Lester Horwitz Harry Moses Horwitz Dorothy Granger Bud Jamison Larry Fine (actor) Bess Flowers Hattie McDaniel John Ince,,
14169,,Johanna Rosaly Tommy Muniz Rene Monclova Gladys Rodríguez,,Jacobo Morales
14170,,Harry T. Morey Louise Beaudet,Our Wives,Anthony E. Wills
14171,,The Screaming Jets,,
14172,,Roland Eng San Chariya,My Village at Sunset,Norodom Sihanouk
14173,,CKY Crew Ryan Dunn Brandon DiCamillo Bam Margera,,
14174,,Franu00E7oise Sorya Dreyfus Ugo Tognazzi,Tragedy of a Ridiculous Man,Bernardo Bertolucci
14175,,Andrew McCarthy Steve Vinovich Estelle Scher Kim Victoria Cattrall James Todd Spader G. W. Bailey,Mannequin,Michael Gottlieb Edward Rugoff
14176,,Keanu Charles Reeves Laurence John Fishburne III Hugo Wallace Weaving Carrie-Anne Moss,The Matrix Revolutions,Wachowski brothers
14177,,Vivek Anand Oberoi Arbaaz Khan Suniel Shetty Tusshar Kapoor Amitabh Bachchan Sanjay Dutt,,Sanjay Gupta (Director) Apoorva Lakhia
14178,,Gloria Hendry Fred Williamson,Black Caesar,Larry Cohen
14179,,"Robert Mario De Niro, Jr. Cuba Gooding Jr. Charlize Theron",Men of Honor,Scott Marshall Smith
14180,,Akshay Kapoor Dia Mirza,,Sanjay Masoom Ashu Trikha Tagore Almeda
14181,,Sofia Villani Scicolone Marcello Vincenzo Domenico Mastroianni,Academy Award for Best Foreign Language Film,Cesare Zavattini Billa Billa Isabella Quarantotti Eduardo De Filippo Alberto Moravia
14182,,Kamal Haasan,,
14183,,Eileen Eilender Leon Breitenborn,Mu00E4nner wie wir,Benedikt Gollhardt
14184,,Jean Lapointe Gabriel Arcand,,Denys Arcand
14185,,Sharmila Tagore Dharmendra Leena Chandavarkar Ashok Kumar,,"Dr Balkrishna (Dialogue), Mushtaq Jalili (Screenplay)"
14186,,"Sydney Arnold
Guy Bertrand
Andrew Bicknell",The Crimson Permanent Assurance,Terry Gilliam
14187,,Ruby Catherine Stevens Nils Asther,The Bitter Tea of General Yen,"Grace Zaring Stone (story)
Edward E. Paramore, Jr. (screenplay)"
14188,,John Elmer Carson Zachary Scott Eunice M. Quedens,Mildred Pierce,James M. Cain William Faulkner
14189,,Johan Verner u00D6lund,Charlie Chan in London,Philip MacDonald Earl Derr Biggers
14190,,Lori Petty Ice-T Naomi Ellen Watts,Tank Girl,"Tedi Sarafian
Alan Martin (comic)
Jamie Hewlett (comic)"
14191,,Wong Liu Tsong Julanne Johnston Charles Belcher Snitz Edwards,The Thief of Bagdad,Lotta Woods
14192,,Kathrin Resetarits,Bu00F6se Zellen,Barbara Albert
14193,,Richard Bernard Skelton Vera Ellen Westmeier Rohe Frederick Austerlitz Jr. Arlene Dahl,Three Little Words,George Wells
14194,,Archibald Alec Leach Werner Klemperer Suzy Parker Vera Jayne Palmer Leif Erickson,Kiss Them for Me,Luther Davis Julius J. Epstein Frederic Wakeman
14195,,Rocío Dúrca,Rocu00EDo de La Mancha,"Luis Lucia
Josu00E9 Luis Colina"
14196,,Susumu Terajima Alexander Wang Zeny Kwok James H. Thomas u672Cu90F7 u594Fu591A Anne Suzuki Taro Yamamoto Gackt Hyde (singer),Moon Child,Takahisa Zeze Gackt Isuchi Kisyu
14197,,Gladys Georgianna Greene Marion Robert Morrison,A Lady Takes a Chance,Robert Ardrey
14198,,,,Abel Santacruz Jean Cartier
14199,,Anchal Ashaal Wasif Butt,,
14200,,,,Umetsugu Inoue
14201,,Simon and Garfunkel The Animals Canned Heat The Who Jimi Hendrix Big Brother and the Holding Company Otis Redding Jefferson Airplane The Mamas & the Papas Hugh Masekela Country Joe and the Fish Ravi Shankar,,
14202,,,Love Don't Cost a Thing,Troy Yvette Beyer
14203,,Amira Casar Birol Ünel Asia Aria Anna Maria Vittoria Rossa Argento,,Tony Gatlif
14204,,Franka Potente Barnaby Metschurat,Anatomy 2,Stefan Ruzowitzky
14205,,Alyssa Jayne Milano Chad Lowe,Candles in the Dark,Nicholas Niciphor
14206,,,,Satyajit Ray
14207,,Mario Moreno Reyes Shirley MacLean Beaty Robert Newton James David Graham Niven,Around the World in Eighty Days Academy Award for Best Picture,James Poe S.J. Perelman Jules Verne John N.B. Villiers-Farrow
14208,,Carlos Ray Norris Will Sampson Louis Gossett Jr. Sonny Landham John Rhys-Davies Ian Abercrombie Melody Anderson,Firewalker,Jeffrey M. Rosenbaum Robert Gosnell Norman Aladjem
14209,,Iva Bittová,,"Duu0161an Hanu00E1k
Duu0161an Duu0161ek"
14210,,Josef Váša Ji?í Bedná? Winston Chrislock Svatopluk Matyáš Vojt?ch Holý Ji?í Hrzán Charles Cameron Joan Seton Jana Nováková Elsie Randolph,,Filip Jánský
14211,,Elizabeth Perkins Robert Hepler Lowe James Edgar Belushi Demetria Gene Guynes,About Last Night,Denise DeClue Tim Kazurinsky
14212,,Rimi Sen Paresh Rawal Sunil Shetty Shahid Kapoor Rajiv Hari Om Bhatia,Deewane Huye Pagal,Mangesh Kulkarni Neeraj Vora
14213,,,Ultime grida dalla savana,"Antonio Climati
Mario Morra"
14214,,Robert Mitchum Deborah Jane Kerr-Trimmer,"Heaven Knows, Mr. Allison",Charles Shaw (writer) John Lee Mahin
14215,,William Bradley Pitt Catherine u00C9lise Blanchett,The Curious Case of Benjamin Button,Eric Roth F. Scott Fitzgerald
14216,,David Abraham Cheulkar Naaz Ratan Kumar,Filmfare Best Movie Award Boot Polish,Bhanu Pratap
14217,,Jim Haynie Robert Peter Cohon O-Lan Jones,,Eli Hollander Ronald Sukenick
14218,,Alex Nicol Hillary Brooke,The House Across the Lake,
14219,,Nandita Das Raj Kaur Sachdev Shabana Azmi Rajit Kapur,Hari-Bhari,Shama Zaidi
14220,,Danny Lebern Glover Neal McDonough Brenda Fricker Christopher Allen Lloyd Joseph Leonard Gordon-Levitt Antonio Salvatore Iadanza,,George Wells Richard Conlin Dorothy Kingsley Holly Goldberg Sloan
14221,,"Emma Thompson, Jonathan Pryce",,Christopher Hampton
14222,,William Davis Garwood Jr. William Russell Marguerite Snow,,
14223,,Myrna Adele Williams Edward Montgomery Clift Robert Bushnell Ryan Dolores Hart,Lonelyhearts,Dore Schary Nathanael West Howard Teichmann
14224,,Dara Singh Mumtaz,,
14225,,Herbert Charles Angelo Kuchacevich ze Schluderpacheru Claudia Cardinale Roberto Remigio Benigni,Son of the Pink Panther,Madeline Sunshine Maurice Richlin William Blake Crump Steve Sunshine
14226,,,,Kim Henkel William Tobe Hooper
14227,,Ljiljana Blagojevi? Lazar Ristovski Relja Baši? Tatjana Pujin,,"u017Delimir u017Dilnik
 Branko Andriu0107"
14228,,Yôko Tsukasa Toshir? Mifune Tatsuya Nakadai Isuzu Yamada,Yojimbo,Ryuzo Kikushima
14229,,Richard Pryor,,Sue Wolf
14230,,Nancy Anne Allen Eddie Deezen Theresa Saldana Susan Kendall Newman Bobby Di Cicco Wendie Jo Sperber Marc McClure,I Wanna Hold Your Hand,Bob Gale Robert Lee Zemeckis
14231,,Hrachia Nersisyan,,Hamo Beknazarian
14232,,Margaret Schuyler Fisher Virginia Huston Joseph Pevney George Ranft,,Jonathan Latimer Frank Fenton Roland Brown
14233,,Daniel Quinn Richard Heinberg Chellis Glendinning Derrick Jensen,,Timothy S. Bennett
14234,,Shinya Tsukamoto,,Shinya Tsukamoto
14235,,Phellipe Haagensen José Maria Alves Yves Hoffer Rubia Rafaelle Chico Díaz,Sonhos de Peixe,Kirill Mikhanovsky
14236,,Robert Forster Erik Palladino Dashiell Mihok Todd Jones Ryan Rodney Reynolds Matthew Lillard,Finder's Fee,Plot (narrative) Jim Gulian
14237,,Richard Grant Esterhuysen Stephen Graham (actor) Eugene Hütz,,Dan Cadan
14238,,Alice Maud Krige Brian Jeffrey Krause Mädchen Amick,Sleepwalkers,Stephen King
14239,,Simone Thu00E9ru00E8se Fernande Simon Jean Gabin,,Emile Zola Jean Renoir
14240,,Jeff Garlin Fred Willard,,Andrew Stanton
14241,,Amanda Wyss Gary Farmer A Martinez,Powwow Highway,David Seals Janet Heaney
14242,,Kristi Dawn Chenoweth Jesse McCartney Pamela Segall Anjelica Huston Mae Whitman,Tinker Bell,
14243,,"Jean Seberg Lee Marvin Clinton Eastwood, Jr.",Paint Your Wagon,"Alan Jay Lerner
Paddy Chayefsky (adaptation)"
14244,,Michael Elphick Doughnut Noar-Morrissey Burt Kwouk Midge Taylor Ed Devereaux Anthony Daniels George Rossi Amanda Noar David Daker Daniel Peacock Neil Morrissey,I Bought a Vampire Motorcycle,Mycal Miller John Wolskel
14245,,Edward Ernest Reinhold Jr. Scarlett Johansson,My Brother the Pig,Matthew Flynn
14246,,Roscoe Arbuckle,Among the Mourners,
14247,,Chandra Mohan Sohrab Modi Naseem Banu,Pukar,Kamal Amrohi S. Ameer Hyder Vishnupant Aundhkar
14248,,Sam Shepard Mary Elizabeth Spacek Eric Anthony Roberts,Raggedy Man,William D. Wittliff
14249,,Pascale Bussières William Hurt Marc Donato,,Pete McCormack
14250,,Jean-Pierre Léaud Françoise Lebrun,Grand Prix (Cannes Film Festival),Jean Eustache
14251,,Mary Louise Streep Roseanne Cherrie Barr,,Fay Weldon Mark R. Burns The Life and Loves of a She-Devil Barry Strugatz
14252,,Steve Vinovich Michelle Nicastro John Marwood Cleese Sandra Kay Duncan Mark Harelik Volodymyr Palahnyuk Liz Callaway Dakin Matthews Steven Wright Howard McGillin,The Swan Princess,Richard Rich (director) Brian Nissen
14253,,Jillian Peri Jon Mikl Thor Lara Daans Teresa Simpson Frank Dietz,Rock 'n' Roll Nightmare,Jon Mikl Thor
14254,,The Cure,,The Cure
14255,,Daryl Christine Hannah Nigel John Dermot Neill Cornelius Crane Chase,Memoirs of an Invisible Man,H.F. Saint William Goldman Dana Olsen
14256,,Leslie Townes Hope Mary Jane Saunders William Demarest Lucille Du00E9siru00E9e Ball,,Melville Shavelson Edmund L. Hartmann Damon Runyon
14257,,Raffaele Pisu Olivia Magnani Toni Servillo Adriano Giannini Gianna Paola Scaffidi,,Paolo Sorrentino
14258,,Queenie Watts John Arthur Bindon Billy Murray (actor) Terence Stamp Carol White Kate Williams,,Nell Dunn
14259,,Beatrice Whitney Straight Dominique Ellen Dunne Oliver Robins Craig Richard Nelson Margaret Jobeth Williams Heather Michele O'Rourke,Poltergeist,Steven Allan Spielberg Mark Victor Michael Grais
14260,,,,"David Baughn
Herb Freed
Anne Marisse"
14261,,Eddie Kaye Thomas Michael Anthony Thomas Charles Hall Darren Moore Elmore Rual Torn Julie Hagerty Michael Thomas Green Harland Williams Marisa Coughlan,Freddy Got Fingered,Michael Thomas Green Derek Harvie
14262,,"Stanley Tucci, Jr. Joseph Frank Pesci Richard Schiff Barbara Lynn Herzstein Dominic Chianese Jerry Adler",The Public Eye,Howard Franklin
14263,,Namitha Karunas Prashanth Pooja (actress),,Rajesh Kandan
14264,,Harold Lloyd,The Flirt,H.M. Walker
14265,,Son Min-seok Kim Jin-ah Ju Jin-mo,Real Fiction,Kim Ki-duk
14266,,Joseph Frank Keaton VI,Daydreams,Joseph Frank Keaton VI Edward F. Cline Roscoe Arbuckle
14267,,Joseph Frank Keaton VI,,
14268,,,,Aleksandr Mi?on
14269,,Jean Merilyn Simmons Peter Alexander Ustinov John Anthony Golenor Pablos Issur Danielovitch Charles Laughton Bernard Schwartz Laurence Kerr Olivier,Spartacus,Howard Fast Dalton Trumbo
14270,,"Santiago Craig
Teresa Shade
Tom Rogers
Julio Garcia
Courtney Davis",The Last Man,James Arnett
14271,,Yusuf Khan,,
14272,,Francisco Rabal Louis Seigner Maria Luisa Ceciarelli Alain Delon,L'Eclisse Jury Prize (Cannes Film Festival),Tonino Guerra Michelangelo Antonioni Ottiero Ottieri Elio Bartolini
14273,,Mark Alan Ruffalo Julie Anne Smith Alice Braga Gael Garcia Bernal,,José Saramago Don McKellar
14274,,Beverly D'Angelo Francia Dimase Rob Estes Jenny Lewis,,Joyce Eliason
14275,,Vijayaraj Jyothirmayi Nishanth Shweta Konnur Pradeep Rawat,,
14276,,Richard Pryor,Dynamite Chicken,Ernest Pintoff
14277,,Charles Douville Coburn Antonio Rudolfo Oaxaca Quinn Gene Evans,,"Mickey Spillane (novel)
Alan Green
Lesser Samuels"
14278,,Jean Merilyn Simmons James Hayter (actor) Noel Purcell Cyril Cusack Donald Houston,,John Baines (screenwriter) Michael Hogan (screenwriter) Frank Launder Henry De Vere Stacpoole
14279,,Sridevi Waheeda Rehman Anupam Kher Anil Kapoor,Filmfare Best Movie Award Lamhe,Honey Irani
14280,,Marcello Pagliero Aldo Fabrizi Anna Magnani,"Roma, cittu00E0 aperta",Federico Fellini Sergio Amidei
14281,,John Marley Elizabeth Thompson Daniel Ronald Cox Craig Kenneth Bruderlin R.G. Armstrong Kathleen Lloyd John Rubenstein,The Car,Michael Butler (screenwriter) Dennis Shryack Lane Slate
14282,,Salman Khan Amrish Lal Puri Priyanka Chopra Rajiv Hari Om Bhatia,Mujhse Shaadi Karogi,Rumi Jaffery Anees Bazmee
14283,,"Haruo Asanu
Kuniko Ishii",,Sh?ji Terayama
14284,,Kali Bannerjee,Neel Akasher Neechey,
14285,,Rebecca Schull LeAnn Rimes Bernadette Lazzara,,Ellen Weston Tom Carter LeAnn Rimes
14286,,Barry Fitzgerald Nancy Olson William Holden,,"Thomas Walsh (novel)
Sydney Boehm"
14287,,Tommy Lee Jones Sean Young Nicholas Cage,Fire Birds,"Step Tyner (story) 
 John K. Swensson (story) 
 Dale Dye   (story) 
 Nick Thiel (screenplay) 
 Paul F. Edwards (screenplay)"
14288,,Leo Willis Lyle Tayo Arthur Stanley Jefferson Fay Holderness Oliver Hardy Tiny Sandford Kay Deslys Anita Garvin,Their Purple Moment,H.M. Walker
14289,,Duane Jones Marlene Clark,Ganja and Hess,Bill Gunn
14290,,Barry Primus Barbara Lynn Herzstein John Arthur Carradine,Boxcar Bertha,Ben L. Reitman
14291,,Michel Piccoli Juliette Binoche,,Lu00E9os Carax
14292,,Charles Dennis Buchinsky Marlène Jobert,Le Passager de la Pluie Rider on the Rain,
14293,,Barbara Joan Streisand Benjamin Augustus Middleton James Langston Edmund Caan Roderick Andrew Anthony Jude McDowall Michel Demitri Chalhoub,Funny Lady,Arnold Schulman Jay Presson Allen
14294,,Giuseppe Sanfelice Laura Morante Jasmine Trinca Simona Lisi Silvio Orlando Nanni Moretti,"Stanza del figlio, La Palme d'Or",Nanni Moretti
14295,,Zhe Wei Ai Qin Lin,,"Nick Broomfield
Jez Lewis"
14296,,Eli Wallach Anna June Jackson,,Murray Schisgal
14297,,Joan Wyndham (actor) William Henry Pratt,,"Alice Campbell
Cyril Campion
Heinrich Fraenkel
H. Fowler Mear"
14298,,Naoko Otani Toshiya Fujita (director) Yoshio Harada,Zigeunerweisen,Hyakken Uchida
14299,,Annie Shizuka Inoh,Wolves Cry Under the Moon,Kuo Cheng
14300,,Kaoru Yumi Yôko Tsukasa Tetsuro Tamba Toshio Kurosawa,The Last Days of Planet Earth,Toshi Yasumi Yoshimitsu Banno Tsutomu Goto
14301,,Colin Friels Jacqueline Susan McKenzie Daniel Daperis Deborra-Lee Furness John Lynch (actor),Angel Baby,Michael Rymer
14302,,Ken Flott,,Dom Portalla
14303,,Marie Magdalene Dietrich Marion Robert Morrison,Seven Sinners,Ladislas Fodor John Meehan
14304,,Amol Palekar,,"Prafulla Roy, Tapan Sinha"
14305,,Jeffrey Allan Anderson Michael Muhney,,Adrian Fulle
14306,,Francisco Rabal Margarita Andrey Tony Leblanc Guadalupe Muñoz Sampedro Alberto Romea José Isbert Xan das Bolas Adrían Ortega Juanjo Menéndez José Luis Ozores,Historias de la radio,Josu00E9 Luis Su00E1enz de Heredia
14307,,Jean-Luc Bideau Miou-Miou,,John Berger
14308,,Hanne Karen Blarke Bayer Michel Subor Henri-Jacques Huet,Le Petit Soldat,Jean-Luc Godard
14309,,Katie Sagona Annette Carol Bening Aidan Quinn Robert Downey Jr.,In Dreams,Bari Wood Bruce Robinson
14310,,Mary-Kate Olsen Ashley Fuller Olsen,Switching Goals,
