id,actors,title
9785,Joanne Gignilliat Trimmier Woodward Emmett Evan Heflin Jr. Raymond William Stacey Burr,
9786,Caryn Elaine Johnson Michael Hugh Johnson Ed Asner Timothy James Curry,A Christmas Carol
9787,Thomas Jeffrey Hanks Charles Durning James Edgar Belushi Edward Herrmann Carrie Frances Fisher Dabney Coleman Lori Singer,The Man with One Red Shoe
9788,Fear Factory,
9789,Kim Yu-Mi Ha Ji-Won,Phone
9790,,Columbia Pictures Serial (film)
9791,Craig Sheffer Daniel Bernard Sweeney Robert Patrick James Scott Bumgarner Peter Berg,Fire in the Sky
9792,u6797u7ACBu6167 Lu00EDn Lu00EC-Huu00EC Chang Chen,Three Times
9793,Mark Wahlberg Jennifer Aniston,Rock Star
9794,"Nandamuri Bala Krishna, Meena, Raasi, Abbas, Chandramohan",
9795,Anthony LaPaglia Geoffrey Roy Rush Peter Phelps Leah Purcell Daniela Farinacci Kerry Armstrong Vince Colosimo Rachael Blake (Australian actress) Russell Dykstra Barbara Lynn Herzstein Glenn Robbins,Lantana
9796,,Serial (film) Universal Pictures
9797,Richard Carlson King Donovan,
9798,Eve Backlinie Robert Sheble. Scott Beach,The Grizzly and the Treasure
9799,Douglas Rushkoff Noam Chomsky,
9800,Stephen Lang (actor) Michael Carmine Leon Preston Robinson IV Laurence John Fishburne III Lauren Michael Holly John Cameron Mitchell,Band of the Hand
9801,Elvis Presley Michele Ann Marie Fabares,
9802,Salman Khan Anupam Kher Neelam,
9803,Harold Lloyd,Ragtime Snap Shots
9804,Rosa E.Bye Robert Lindahl Haug Vetle Næss Petrus A. Christensen Jørgen Foss Atle Antonsen Andreas Cappelen Kristin Skogheim Charlotte Brodde,
9805,,Aku Ingin Menciummu Sekali Saja
9806,Retta Palmer Lyle Tayo Arthur Stanley Jefferson Jimmy Finlayson Oliver Hardy Tiny Sandford Charlie Hall,Big Business
9807,"Richard Gant Cuba Gooding, Jr. Paul Rae Brian Murray Tamala Jones Richard Laughlain Munro",Daddy Day Camp
9808,Sorcha Cusack Michael A. James,
9809,Ethan Philan Randall Thora Birch,All I Want For Christmas
9810,Shingo Tsurumi Harumi Inoue Kazuki Kitamura Shunsuke Matsuoka,Freeze Me
9811,Loredana Nusciak José Bódalo Francesco Sparanero,
9812,Jan Wiener Arnošt Lustig,
9813,Dawn Dunlap Maud Solveig Christina Wikstru00F6m,Laura
9814,Arthur Christopher Orme Plummer Sofia Villani Scicolone Finlay Jefferson Currie Melchor Gaston Ferrer Alec Guinness de Cuffe James Neville Mason William Millar Michel Demitri Chalhoub,The Fall of the Roman Empire
9815,Espen Skjønberg,En Hu00E5ndfull tid
9816,Edward Allen Harris Viggo Peter Mortensen Jr. William Hurt Maria Elana Bello,A History of Violence
9817,Suhasini Rajaram Naidu Prakash Raj Venkatesh Srikanth (Telugu actor) Sharwanand Arti Agarwal,
9818,Laura Augusta Gainor George O'Brien Florence Gilbert,The Johnstown Flood
9819,Susan Clark Brenda Sykes Louis Gossett Jr. James Scott Bumgarner Yitzhak Edward Asner,Skin Game
9820,Elizabeth Stack Roy Brocksmith Brent Jay Spiner,Rent Control
9821,Arjun Rampal Ishaa Koppikar Rakhee Aishwarya Rai,
9822,Carl Dean Switzer Edmund Lowe Myrna Adele Williams William Horatio Powell Francis Curray McHugh,I Love You Again
9823,Oliver Hardy,The Battle Royal
9824,"Gustaf Karlsson, Bob Wallace, Kalle Fridholm",
9825,Reginald Vel Johnson Bonnie Bedelia Culkin Alan Sidney Patrick Rickman Paul Xavier Gleason Walter Bruce Willis Alexander Godunov,Die Hard
9826,Harriet Arlene Lake Robert George Young,
9827,Kamal Haasan,Pushpak
9828,Jay O. Sanders Kirsten Louise Alley Timothy Alan Dick Wayne Knight Michael Lerner (actor),For Richer or Poorer
9829,Harold Lloyd,Don't Shove
9830,William McNamara Katherine Marie Helmond Nigel Allan Havers Kevin McCarthy Corey Parker Angus Macfadyen Ray Wise Sheryl Ann Fenn Casey Ahern,Liz: The Elizabeth Taylor Story
9831,Marion Robert Morrison Lily Claudette Chauchoin Donald John DeFore,Without Reservations
9832,Günther Simon,
9833,Dale Thompson Trevor White,
9834,Lucinda Dickey Adolfo Quinones Michael Chambers,Breakin' 2: Electric Boogaloo
9835,,List of Sundance Film Festival award winners Frat House
9836,,
9837,Gladys Georgianna Greene Frank James Cooper,Mr. Deeds Goes to Town
9838,James R. Hilton Ben Bar Gregory Lee Kenyon Zette Sullivan Timothy Prindle Douglas Alexander Smith Kyle O. Ingleman Jere Jon Jennifer Capo Robert Donavan Jennifer Cantrell,Trancers 6
9839,Juliette Binoche Malachi Jara Kohan Philippe Lacoste Myriem Roussel Thierry Rode Manon Andersen,Hail Mary
9840,Michael Garfield Kim Terry,"Slugs, muerte viscosa"
9841,Phil Vischer Mike Nawrocki,
9842,Joseph Angelo (Joe) D'allesandro Jane Forth Haroldo Santiago Franceschi Rodriguez Danhakl,Trash
9843,Kim Richards Christopher Frank Carandini Lee Ruth Elizabeth Davis Ike Eisenmann Jack Soo,
9844,Michael Francis Moore Noam Chomsky Jesse Larner Sean Hannity Al Franken,Manufacturing Dissent
9845,Malcolm-Jamal Warner Laurence John Fishburne III Courtney B. Vance Allen Payne,The Tuskegee Airmen
9846,Dino Morea Riya Dev Varma Sanjay Suri Priyanka Chopra Sanjay Dutt Sameera Reddy,Plan
9847,Miranda Jane Richardson Martin Vidnovic,The King and I (Animated; 1999)
9848,Dharam Pishorimal Anand Waheeda Rehman Shakila (actress),CID
9849,Debralee Scott David Graf G.W. Bailey Steven Robert Guttenberg Scott Thomson Bruce Mahler Theodore Ross Roberts Bubba Smith Doug Lennox Donovan Scott Leslie Easterbrook Kim Victoria Cattrall Andrew Rubin Michael Winslow George Jongejans,Police Academy
9850,,
9851,Nanda (actress) Dharam Pishorimal Anand Waheeda Rehman,
9852,Patrick Wilson (musician) Brian Bell (musician) Jason Cropper Matt Sharp Mikey Welsh Scott Shriner Rivers Cuomo,
9853,Georgiy Vitsin Anna Komoleva Sergey Martinson Rina Zelyonaya,Klyuch
9854,Burton Stephen Lancaster Anna Magnani,
9855,,
9856,Billy Bob Thornton Seann William Scott Susan Abigail Tomalin,Mr. Woodcock
9857,Michael Emmet,Night of the Blood Beast
9858,Evart Overton Agnes Hinkle Bernard Siegel Adele DeGarde Edward Earle,The Purple Dress
9859,Arthur John Gielgud Derek Jacobi Rutger Oelsen Hauer Ian Holm Cuthbert,
9860,,
9861,Errol Leslie Thomson Flynn Beverly Aadland,Cuban Rebel Girls
9862,,Paris Is Burning
9863,"Jeff Speakman, Ron Silver",
9864,Alain Delon François Périer,Le Samourau00EF
9865,Pamela Suzette Grier Kate Elizabeth Winslet Harvey Keitel,Holy Smoke!
9866,Vijay (actor) Vijayaraj,
9867,Rick Harris Bill Bloom Stacy Smith John Ensign,
9868,Banzai (television show) Penny Rimbaud,
9869,Lionel Abelanski Agathe de la Fontaine Rufus (actor),Train of Life
9870,Alexander Nathan Etel Craig Hall Ben Chaplin Emily Anita Watson David Morrissey,The Water Horse: Legend of the Deep
9871,"Jane Waddington Wyatt John R. Cox, Jr. Ronald Charles Colman",Lost Horizon
9872,Premnath Feroz Khan Bhanurekha Ganesan,
9873,Phil Vischer Mike Nawrocki Rebecca St. James,
9874,Phil Regan (actor) Louis Feinberg Harry Moses Horwitz Jerome Lester Horwitz Gale Storm,
9875,Natan Sharansky Bernard Lewis David Ignatius Tony Judt Rashid Khalidi,
9876,Elmo Lincoln Gordon Griffith Enid Markey George B. French,Tarzan of the Apes
9877,Nigel John Dermot Neill Jeremy John Irons Zafer Ergin Demetri Goritsas,
9878,Virginia McKenna David Paul Scofield,
9879,Biagio Anthony Gazzara Paul Sternberg Virginia Cathryn Rowlands Zohra Lampert Rose Joan Blondell Peter Bogdanovich John Nicholas Cassavetes,Opening Night
9880,Takeshi Kitano Kyoka Suzuki,Blood and Bones
9881,Miki Irie Kyoko Kishida Eiji Okada Mikijiro Hira Machiko Kyo Tatsuya Nakadai,The Face of Another
9882,Krishna Bhanji Ron Eldard Pari Vaziri-Tabar Jennifer Lynn Connelly,House of Sand and Fog
9883,Saffron Dominique Burrows Jeremy Philip Northam Kate Elizabeth Winslet Stephen Scott,Enigma
9884,,
9885,Jean-Paul Belmondo Michel Boujenah Alessandra Martines,Les Misu00E9rables Golden Globe Award for Best Foreign Language Film
9886,Oliver Hardy,The Nuisance
9887,,Astro Boy
9888,Agnes Hinkle,
9889,John Edward Hawkins Michael Denison Dulcie Gray,Angels One Five
9890,Rajnikant Rakesh Roshan,
9891,Josh Hamilton Paul Stephen Rudd Ron Eldard Laura Anne D'Ambruoso Maura Lynn Tierney Sarah Paulson Ken Marino,Diggers
9892,María de la Fuente Juan Corona Iván Grondona Pilar Gómez,
9893,Parveen Babi Rajendra Kumar Madan Puri Zaheera Balbir Raj Kapoor Rakesh Roshan,Aahuti
9894,Christopher Kennedy Masterson,
9895,"Ingrid de Souza
Cesare Bocci",Princesa
9896,Lei Liu Cecilia Cheung Patrick Tang u5B89u5FD7u6770 / Andy On Hui Shiu Hung Ng Chi-Keung (u5433u5FD7u5F37),
9897,Doug Bruce,Unknown White Male
9898,Kamal Haasan,
9899,Ti Lung Fu Sheng Philip Kwok,
9900,Chico Marx Edgar Kennedy Daisy Juliette Baker Edwin Maxwell Zeppo Marx Groucho Marx Harpo Marx,Duck Soup
9901,Thomas Edward Hulce Jeroen Aart Krabbu00E9 Thomas Antonius Cornelis Ancion Manouk van der Meulen,Shadowman
9902,Bipasha Basu Abhishek Bachchan Hrithik Roshan Uday Chopra Rimi Sen Aishwarya Rai,Dhoom 2
9903,John Scott (actor) Alice Lyon Allen Laurel,The Horror of Party Beach
9904,Jason Matthew Biggs Jack Black (actor) Steven James Zahn Amanda Peet,
9905,Shun Oguri Aya Sugimoto Erika Sawajiri,
9906,Sopitnapa Dabbaransi,February
9907,Charles M. Walsh Anika Noni Rose Jonah Hill Feldstein Daniel Michael DeVito Jr. Brad Hunt Justin Jake Long Tracy Middendorf,One Part Sugar
9908,Danica Mae McKellar David Lemuel Keith Franklin Dennis Jones Chris Pratt,
9909,Harold Lloyd Una Merkel,
9910,Sharwanand Shriya Reddy Nagendra Babu Suhasini Mani Ratnam,Amma Cheppindi
9911,Kim van Kooten Michiel Huisman,Phileine zegt sorry
9912,Henry DeWitt Carey II,Tiger Thompson
9913,Louise Fletcher Malinda Williams Mekkhi Thira Phifer Althea Rae Duhinio Janairo Jonathan Lovitz,High School High
9914,,
9915,Anne Tenney Stephen Curry Eric Banadinovich Michael Caton,The Castle
9916,Cochin Haneefa Asin Thottumkal Innocent Samyuktha Varma Parthiban Kunchacko Boban,Narendran Makan Jayakanthan Vaka
9917,"Sidney Poitier Samuel George Davis, Jr. Dorothy Jean Dandridge Pearl Mae Bailey Clarence Muse",Porgy and Bess
9918,Marcello Vincenzo Domenico Mastroianni Maria Luisa Ceciarelli Giancarlo Giannini,Dramma della gelosia - tutti i particolari in cronaca
9919,Luana Walters <BR \> Arthur Gardener <BR \> Fay McKenzie <BR \> Michael Owen <BR \>Dorothy Short,Assassin of Youth
9920,Jennifer L. Morrow Mark Rendall Gil Bellows Don McKellar Peter Michael Paige Alan Thicke,
9921,Vincent Schiavelli Daniel Michael DeVito Jr. Jerry Lawler Courtney Love Paul Giamatti James Eugene Carrey,Man on the Moon
9922,Joan Chen Kwok-Leung Ng Yoshio Harada Christopher Lambert Yoko Shimada,The Hunted
9923,Dolores Michaels Antonio Rudolfo Oaxaca Quinn Henry Jaynes Fonda Richard Widmark Dorothy Malone,Warlock
9924,Raiford Chatman Davis Bai Ling Paula Jai Parker Q-Tip (rapper) Reynaldo Raul Rosales Sarita Catherine Louise Choudhury Jim Brown Lonette McKee Kristina Klebe Monica Bellucci Jamel Debbouze Kerry Washington Anthony Mackie Dania Ramirez Woodrow Tracy Harrelson John Michael Turturro Brian Manion Dennehy Ellen Rona Barkin,
9925,Charles Chaplin Chester Cooper Conklin Fritz Schade Cecile Arnold Hank Mann Harry McCoy Wallace MacDonald Vivian Edwards,The Face on the Bar Room Floor
9926,Fereshteh Sadr Orfani Aida Mohammadkhani Mohsen Kafili,Badkonake sefid
9927,Benoît Poelvoorde,Man Bites Dog
9928,Keanu Charles Reeves Giancarlo Giannini Antonio Rudolfo Oaxaca Quinn Aitana Sánchez-Gijón,A Walk in the Clouds
9929,,Resident Evil
9930,Roscoe Arbuckle Mabel Normand,Fatty and Mabel at the San Diego Exposition
9931,Frank Theodore Levine Alicia Christian Foster Philip Anthony Hopkins Scott Glenn,Academy Award for Best Picture The Silence of the Lambs
9932,Scarlett Johansson en . James Sturgess Eric Banadinovich,The Other Boleyn Girl
9933,,
9934,Germano Haiut Caio Blat Daniela Piepszyk Liliana Castro Michel Joelsas,The year My Parents Went on Vacation
9935,Jeanne Moreau Claude Mann,
9936,Harold Lloyd,Back to the Woods
9937,Gwyllyn Samuel Newton Ford Ethel Mae Blythe Gene Eliza Tierney,The Secret of Convict Lake
9938,Mary Elizabeth Mastrantonio David Russell Strathairn Vanessa Martinez,Limbo
9939,Benoît Poelvoorde Jean-Paul Rouve Julie Depardieu,Podium
9940,Peter Jennings,
9941,Lee Van Cleef Yuliy Borisovich Brynner,The Sabata Trilogy
9942,Adele Rein,The Girl With the Hungry Eyes
9943,Charles Chaplin Alice Davenport Chester Cooper Conklin Mabel Normand Hank Mann Harry McCoy Al St. John,Mabel's Strange Predicament
9944,Henry DeWitt Carey II,A Woman's Fool
9945,Judd Holdren Ray Boyle John Crawford Craig Kelly Leonard Simon Nimoy Lane Bradford Stanley Waxman Aline Towne Wilson Wood,Zombies of the Stratosphere Serial (film) Republic Pictures
9946,Marguerite Sessler Emily Lubin,New Pillow Fight
9947,Alyson Renae Michalka Michael Trevino Amanda Joy Michalka Christian Serratos John MacDonald Coleman,
9948,Enrique Villén Jesús Bonilla Carmen Garcu00EDa Maura Kitti Mánver Marta Fernández Muro Manuel Tejada Terele Pávez Paca Gabaldón Eduardo Gómez Sancho Gracia Ion Gabola Emilio Gutiérrez Caba,La Comunidad
9949,Gloria Hendry Fred Williamson,Hell Up in Harlem
9950,Jason Schwartzmann Jude Law Dustin Lee Hoffman Mary Jean Tomlin Isabelle Huppert,I u2665 Huckabees
9951,Harold Lloyd,Clubs Are Trump
9952,Mary Jeanette Robinson William Claude Rains Clara Lou Sheridan Billy Halop Gloria Dickson Jacob Julius Garfinkle,They Made Me a Criminal
9953,Douglas William Bradley Kari Wuhrer,Hellraiser: Deader
9954,Anna Chancellor Imelda Mary Philomena Bernadette Staunton Rosalie Anderson MacDowell Kenny Doughty Bill Paterson,Crush
9955,John Bachelder Kurtwood Larson Smith Don Amendolia Jane Alden,
9956,Ewen Bremner,
9957,"Marlon Brando, Jr. Rosita Dolores Alveru00EDo Pamela Franklin Richard Boone",
9958,Nancy Kwan Vic Silayan Leslie William Nielsen Vic Diaz John Gary Yurosek,Project:Kill Project: Kill
9959,Ali Raghu Babu Dharmavarapu Subramanyam Brahmanandam M. S. Narayana Krishna Bhagavan,
9960,,Appointment in London
9961,David William Duchovny Gillian Leigh Anderson Martin Landau William B. Davis Mitch Pileggi,The X-Files
9962,"Lukas Daniel Haas Robert Anson Jordan Jason Patric Miller, Jr. Peter John DeLuise Jami Gertz",Solarbabies
9963,Michael Jackson,
9964,Errol Leslie Thomson Flynn Humphrey DeForest Bogart Randolph Scott Francis Curray McHugh Ellen Miriam Hopkins,Virginia City
9965,Arthur Christopher Orme Plummer Crispin Hellion Glover Uma Karuna Thurman David Ian Hewlett Suzy Amis Dabney Coleman Joanna Cassidy,Where the Heart Is
9966,Amar Choudary Karunas Pooja (actress) Seeman (director),
9967,Beatrice Boepple Lisa Wilcox Robert Barton Englund Erika Anderson,A Nightmare on Elm Street 5: The Dream Child
9968,Mabel Constanduros Diana Dawson,
9969,Parthiban Vadivelu Meena Vijayakumar,
9970,Sunil Shetty,
9971,Johan Verner u00D6lund,The Mysterious Dr. Fu Manchu
9972,Greg Hansen Jonathan Joseph Heder Bracken Johnson Chris Sanchez,Peluca
9973,Wallace Shawn Antonio Salvatore Iadanza Jane Sibbett,Noah
9974,Mary Cathleen Collins Julie Chalene Newmeyer Don Murray (actor) Leo Damian Antonio Rudolfo Oaxaca Quinn,Ghosts Can't Do It
9975,Duane Whitaker Bo Hopkins Raymond Cruz Muse Watson Robert Patrick Danny Trejo,
9976,Christian Michael Leonard Hawkins Victoria Abril Joseph Frank Pesci,Jimmy Hollywood
9977,Louis Constant Tom Wiles Bernard Hill Daniel Percival Claire-Hope Ashitey,
9978,Anne Celeste Heche Sean Patrick Duke Matthew Lillard Gina L. Gershon Cuba Gooding Jr.,
9979,,
9980,Elijah Jordan Wood Franka Potente Mandy Moore,
9981,Christopher Marquette Gregory Oliver Hines,
9982,Kathleen Doyle Bates Philip Seymour Hoffman,
9983,Ursula Andress Gitte Nielsen Alessandra Martines,
9984,Takatoshi Kaneko Lee Tae Sung Chung Dong Hwan Naoto Takenaka Maakii,
9985,Lionel Herbert Blythe Eileen Evelyn Greer Garson Jessica Tandy George William Crisp Dan Duryea Marsha Hunt (US actress) Gladys Constance Cooper Preston Foster Reginald Owen Eldred Gregory Peck,
9986,Philip Carey Fredrick Martin MacMurray Marilyn Pauline Novak,Pushover
9987,Hilmar Jonsson Laufey Elísasdóttir Elma Lisa Gunnarsdottir Margrét Vilhjálmsdóttir Aaron Brink,
9988,Stuart Wilson Philip Anthony Hopkins Catherine Jones Josu00E9 Antonio Domu00EDnguez Banderas,
9989,Mervat Amin Emad Hamadi Ahmed Ramz,
9990,Charles Dance Mary Louise Streep Ian McKellen,Plenty
9991,Cynthia Ellen Nixon Charlie Ray Joshua Ryan Hutcherson Bradley Whitford,Little Manhattan
9992,Marcel Lévesque Édouard Mathé Jean Aymé Stacia Napierkowska Musidora Fernand Herrmann,Les Vampires
9993,Melissa Davis Max Records Angus Sampson Paul Franklin Dano Rachel Rivera James R. Gandolfini Forest Steven Whitaker Catherine Ann Keener,
9994,"Eiji Okada Marlon Brando, Jr. Pat Hingle",
9995,Leo Jacoby Nina Consuela Maud Fock William Holden (actor),
9996,Francis Phillip Wuppermann,The Great Morgan
9997,Daniel Edward Aykroyd Stephen Glenn Martin Philip Edward Hartmann,Sgt. Bilko
9998,Daniel Wu Sandra Ng Karen Joy Morris Stephen Fung,DragonBlade
9999,Charlotte Walker (actress),The Trail of the Lonesome Pine
10000,Rufus Frederik Sewell Catherine Jones Josu00E9 Antonio Domu00EDnguez Banderas,
10001,Herbert Charles Angelo Kuchacevich ze Schluderpacheru Richard Henry Sellers Robert Webber Samile Diane Friesen,Revenge of the Pink Panther
10002,Idi Amin,Idi Amin Dada
10003,"Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Bryan Batt Michael Terry Weiss Susan Alexandra Weaver Steven Weber (actor)",Jeffrey
10004,Geraldine Sue Page Ruth Gordon Jones,
10005,Paul Birch Morgan Jones Beverly Lucy Fessenden,Not of This Earth
10006,Ky? Sakamoto Robert Harter Seiji Miyaguchi Herb Duncan Akira Oizumi Chiyoko Honma Shoichi Ozawa Darla Jean Hood Masao Imanishi,Gariba no uchu ryoko
10007,Richa Pallod Joseph Vijay Chandrasekhar,
10008,Matthew Moore Thomas J. Moore Owen Moore George Ranft,
10009,Haley Joel Osment Thomas Mark Harmon Noriyuki Morita Pam Dawber Trevor Morgan,
10010,"Charles Robert Redford, Jr. Lady Jayne Seymour Fonda Carmine Orrico Willie Nelson Valerie Ritchie Perrine",The Electric Horseman
10011,,The Brotherhood II: Young Warlocks
10012,,Wilby Wonderful
10013,Lamberto Maggiorani,The Bicycle Thief Ladri di biciclette
10014,Roscoe Arbuckle,Almost a Rescue
10015,AR Tompel Teuku Zakaria Saloma,
10016,Melanie Richards Griffith Lee Richardson (actor) John Pankow Tracy Jo Pollan Eric Thal,A Stranger Among Us
10017,Monica Potter Morgan Freeman Michael Anthony Claudio Wincott,Along Came a Spider
10018,Soon-Tek Oh Anne Archer Carver Dana Andrews Carlos Ray Norris,
10019,Gitte Nielsen Kim Rossi Stuart Alessandra Martines,
10020,Oliver Hardy,Switches and Sweeties
10021,Ljubica Adžovi? Davor Dujmovi? Bora Todorovi?,Time of the Gypsies
10022,Anne Alvaro Alain Chabat Gérard Lanvin,César Award for Best Film
10023,Kristen Jaymes Stewart,Speak
10024,Frank Mitchell Louis Feinberg Harry Moses Horwitz Samuel Horwitz Maxine Gates,
10025,Stanley Baker Jacqueline Sassard Derek Jules Gaspard Ulric Niven van den Bogarde,Grand Prix (Cannes Film Festival) Accident
10026,Massimo Troisi Maria Grazia Cucinotta Philippe Noiret,BAFTA Award for Best Film Il Postino
10027,,Asterix Conquers America Asterix in Amerika
10028,Nicole Mary Kidman John Gavin Malkovich,
10029,Jay Leno Noriyuki Morita,
10030,George Ranft Ben Bernie,Stolen Harmony
10031,Julieta Serrano Jordi Dauder Laura Conejero Agustín González Rosa Maria Sardà Sergi López i Ayats David Selvas Naïm Thomas Mercè Pons,Caru00EDcies
10032,Rosemarie Lovell Connie Simmons Inez Drummond Pegi Young Craig Hayes,
10033,Paul Rodriguez Daniel Jacob Stern Kamala Lopez-Dawson Jan-Michael Vincent Richard Anthony Marin,Born in East L.A.
10034,Davy Jones (actor) Michael Nesmith Peter Tork Micky Dolenz,Head
10035,John Marwood Cleese Cameron Michelle Diaz Josu00E9 Antonio Domu00EDnguez Banderas Michael John Myers Eddie Murphy Jennifer Jane Saunders Julia Elizabeth Wells Rupert James Hector Everett,. Shrek 2
10036,Jozef Kondrat Jan Nowicki Gustaw Holoubek Irena Orska,The Hour-Glass Sanatorium Jury Prize (Cannes Film Festival)
10037,Raymond Liotta Ethan Suplee Penu00E9lope Cruz Su00E1nchez Jordi Mollà John Christopher Depp II Franka Potente Paul Rubenfeld,Blow
10038,Dana Elaine Owens Stephanie Finochio Gisele Bündchen James Thomas Fallon,Taxi
10039,Reagan Pasternak Dominique Swain,Dead Mary
10040,Larry C. Robinson II Scott David Menville Henry Corden Hamilton Camp Jean Vander Pyl Elizabeth Fraser B. J. Ward (actress),"The Flintstone Kids' ""Just Say No"" Special"
10041,Bow Wow Solange Knowles,Johnson Family Vacation
10042,Marie Magdalene Dietrich Emanuel Goldenberg George Ranft,
10043,Missy Francis Roxana Zal Edward Bridge Danson III Glenn Close,
10044,Surya Saputra Cut Mini Theo Tora Sudiro,Arisan!
10045,Saud Reema Moammar Rana Nirma Meera,
10046,Jen Hsian-Chih u6797u7ACBu6167 Lu00EDn Lu00EC-Huu00EC Tony Leung Chiu Wai,Han cheng gong lu00FCe
10047,Georges Meliers,
10048,Chandra West Guy Rolfe Gordon Currie Felton Perry,Puppet Master 4
10049,Jean-Pierre Léaud Gérard Zimmermann Henri Martinez,Le Pu00E8re Nou00EBl a les yeux bleus
10050,"Collin Doyle
Aaron Talbot
Cameron McLay
Josu00E9 DeSousa
Darcy Shaw
Elda Pinckney
Ethan Reitz",
10051,Amjad Khan Amitabh Bachchan Bhanurekha Ganesan,
10052,Paul Richter Theodor Loos Margarete Schoen Hans Adalbert von Schlettow Rudolph Klein-Rogge Rudolf Rittner Hanna Ralph Georg August Koch Bernhard Goetzke,
10053,"George Orson Welles Walter Stacy Keach Jr. Pia Zadora Edward Peter Leo McMahon, Jr.",Butterfly
10054,Ekin Cheng Jordan Chan,
10055,Emma Williams Stephen John Coogan Ben Miller Om Puri Steven Waddington,
10056,Mercedes Gilbert Julia Theresa Russell Paul LeRoy Bustill Robeson,Body and Soul
10057,Mack Sennett Mabel Normand Edgar Kennedy Ford Sterling,
10058,Trevy Woods Iris Hall Evelyn Preer Inez Smith Charles D. Lucas William George Charles S. More Vernon S. Duncan,
10059,Ralph Forbes H.B. Warner George Augustus Andrews Alice Joyce,
10060,Trisha Krishnamurthy Prakash Raj Siddharth Suryanarayan,Nuvvostanante Nenoddantana
10061,Mary Tyler Moore John Anthony Golenor Pablos Carol Elaine Channing Julia Elizabeth Wells Beatrice Gladys Lillie William Fox,Thoroughly Modern Millie
10062,Henry DeWitt Carey II,The Fighting Gringo
10063,Lou Diamond Phillips Casey Siemaszko Kiefer William Frederick Dempsey George Rufus Sutherland Emilio Estevez Sheen Terence Stamp Dermot Mulroney Peter Jay James Patrick Hall Carlos Irwin Estu00E9vez Volodymyr Palahnyuk,Young Guns
10064,Larry Cedar Robin Sydney Ryan Locke William Gareth Jacob Busey III,The Gingerdead Man Gingerdead Man
10065,Tom Savini Ingrid Pitt,
10066,,Arrival of Tongkin Train
10067,Ramon Novarro Philippe De Lacy Edith Norma Shearer,The Student Prince in Old Heidelberg
10068,Roscoe Arbuckle,The Sanitarium
10069,Robin McLaurim Williams Forest Steven Whitaker,"Good Morning, Vietnam"
10070,Jerry Nelson Dave Goelz Camille Bonora Kathryn Mullen Richard Hunt (puppeteer) Steve Whitmire,The Christmas Toy
10071,Walter John Matthow Henry Jaynes Fonda Dan O'Herlihy,Fail-Safe
10072,Yoshiko Kuga Ineko Arima Kinuyo Tanaka Shin Saburi,
10073,Nanda (actress) Yusuf Khan Raj Babbar,
10074,Roberta Vasquez Erik Estrada Cynthia Brimhall Dona Speir,Guns
10075,Carmine Orrico Maurizio Merli Barry Sullivan (actor) Elio Zamuto,
10076,Nade Dieu Michel Serrault Jacques Bouanich Claire Bouanich,
10077,Andrew Vabre Devine Edmond O'Brien Ella Fitzgerald Martin Sam Milner John Randolph Webb Jeanette Helen Morrison Lee Marvin Peggy Lee,Pete Kelly's Blues
10078,Goundamani Urmila Matondkar Senthil (actor) Manisha B. Koirala Nedumudi Venu Kamal Haasan,Indian
10079,Ahmed Butt Nadeem Pooja Kanwal Humayun Saeed,
10080,Emily Harrison Jason-Shane Scott,Curse of the Puppet Master
10081,Jyothika Madhavan Ranganathan Manivannan Murali (Malayalam actor) Vivek (Actor),
10082,John MacKay Darlene Myrick Monica Davis Linda Ormond Clyde Kelly,
10083,Arthur Stanley Jefferson,Oranges and Lemons
10084,James Craig Charles Ruggles Charles Winninger Nancy Kelly,
10085,Kimberly J. Brown Mary Frances Reynolds Judith Hoag Phillip Van Dyke Emily Roeske Joseph Paul Zimmerman,Halloweentown
10086,Lucy Alexis Liu Tom Sizemore Robert John Wagner Woodrow Tracy Harrelson Lolita Davidovich Josu00E9 Antonio Domu00EDnguez Banderas,
10087,Claudia Ferri Paul Anthony Sorvino Ginette Reno Luke Kirby (actor) Peter Miller (actor),Mambo Italiano
10088,Richard Samuel Attenborough Richard Andrew Palethorpe-Todd Michael Wilding (actor) Bernard Lee,Danger Within
10089,Scott Vincent James Baio Vanessa Madeline Angel Jonathan Vincent Voight,SuperBabies: Baby Geniuses 2
10090,Rebecca Lord Caveh Zahedi,I Am a Sex Addict
10091,Kirsten Bishop,The Little Mermaid Anime
10092,,Hei de Vencer
10093,,Hamam
10094,Mel Tillis Ruth Buzzi Issur Danielovitch William Scott Elam Ann-Margret Olsson Strother Martin Paul Edward Lynde Arnold Schwarzenegger Foster Brooks,
10095,,Category 7: The End of the World
10096,Mackenzie Firgens,
10097,"Columbus Keith Short, J Ne-Yo Izabella Miko Winfred Jacqueline Fraser-Bisset Aubrey Dollar",Save the Last Dance 2
10098,Tamara Mark Michael DeLorenzo Don Franklin,
10099,Rhys Muldoon Shaun Micallef Jimeoin Colin Lane Katherine Slattery Bob Franklin,
10100,"Josu00E9 Elu00EDas Moreno
Josu00E9 Luis Aguirre
Armando Arriola
Cesu00E1reo Quezadas",
10101,,"Moi, Tintin"
10102,Samuel Yewell Tompkins Norma Jeane Mortenson,The Seven Year Itch
10103,Alfredo Leggi Allen Midget Giancarlo De Rosa Marisa Solinas,La commare secca
10104,Miranda Webb Michael Lee-Gentle James Helm Somerled Mackay,
